	#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
32153	Arabidopsis thaliana	3702	PRJEB55632	947457	Plants	Land Plants	134.776	36.2816	GCA_949796755.1	chromosome 1:OX461175.1; chromosome 2:OX461176.1; chromosome 3:OX461177.1; chromosome 4:OX461178.1; chromosome 5:OX461179.1		5			2023/04/09	2023/04/10	Chromosome	max planck institute for biology	SAMEA110755685
32154	Arabidopsis thaliana	3702	PRJEB37260	630638	Plants	Land Plants	120.693	36.3464	GCA_903064325.1	chromosome 1:LR797807.1; chromosome 2:LR797808.1; chromosome 3:LR797809.1; chromosome 4:LR797810.1; chromosome 5:LR797811.1		5			2020/05/15	2020/05/15	Chromosome	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	SAMEA6623705
32223	Arabidopsis thaliana	3702	PRJEB55632	947457	Plants	Land Plants	135.983	36.342	GCA_949796705.1	chromosome 1:OX461185.1; chromosome 2:OX461186.1; chromosome 3:OX461187.1; chromosome 4:OX461188.1; chromosome 5:OX461189.1		5			2023/04/09	2023/04/10	Chromosome	max planck institute for biology	SAMEA110755679
32224	Arabidopsis thaliana	3702	PRJEB55632	947457	Plants	Land Plants	140.096	36.3563	GCA_949796415.1	chromosome 1:OX461195.1; chromosome 2:OX461196.1; chromosome 3:OX461197.1; chromosome 4:OX461198.1; chromosome 5:OX461199.1		5			2023/04/09	2023/04/10	Chromosome	max planck institute for biology	SAMEA110755682
32290	Arabidopsis thaliana	3702	PRJEB55632	947457	Plants	Land Plants	134.099	36.2849	GCA_949796525.1	chromosome 1:OX461205.1; chromosome 2:OX461206.1; chromosome 3:OX461207.1; chromosome 4:OX461208.1; chromosome 5:OX461209.1		5			2023/04/09	2023/04/10	Chromosome	max planck institute for biology	SAMEA110755673
32293	Arabidopsis thaliana	3702	PRJEB55632	947457	Plants	Land Plants	140.806	36.4555	GCA_949796665.1	chromosome 1:OX461180.1; chromosome 2:OX461181.1; chromosome 3:OX461182.1; chromosome 4:OX461183.1; chromosome 5:OX461184.1		5			2023/04/09	2023/04/10	Chromosome	max planck institute for biology	SAMEA110755687
32356	Arabidopsis thaliana	3702	PRJNA779205	779205	Plants	Land Plants	120.087	36.1894	GCA_024498515.1	chromosome 1:CP086749.1; chromosome 2:CP086750.1; chromosome 3:CP086751.1; chromosome 4:CP086752.1; chromosome 5:CP086753.1		5			2022/08/01	2022/08/01	Chromosome	GMI - Gregor Mendel Institute	SAMN23014729
32359	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	128.196	36.1556	GCA_036926965.1	chromosome 1:CM072637.1; chromosome 2:CM072638.1; chromosome 3:CM072639.1; chromosome 4:CM072640.1; chromosome 5:CM072641.1	JAWQTY01	10			2024/02/29	2024/02/29	Chromosome	PRJEB62038	SAMN38034186
32418	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	135.806	36.2866	GCA_036927435.1	chromosome 1:CM072582.1; chromosome 2:CM072583.1; chromosome 3:CM072584.1; chromosome 4:CM072585.1; chromosome 5:CM072586.1	JAWQTN01	12			2024/02/29	2024/02/29	Chromosome	PRJEB62038	SAMN38034170
32421	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	131.394	36.1931	GCA_036927085.1	chromosome 1:CM072627.1; chromosome 2:CM072628.1; chromosome 3:CM072629.1; chromosome 4:CM072630.1; chromosome 5:CM072631.1	JAWQTX01	7			2024/02/29	2024/02/29	Chromosome	PRJEB62038	SAMN38034185
32477	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	129.771	36.0844	GCA_036927245.1	chromosome 1:CM072622.1; chromosome 2:CM072623.1; chromosome 3:CM072624.1; chromosome 4:CM072625.1; chromosome 5:CM072626.1	JAWQTV01	7			2024/02/29	2024/02/29	Chromosome	PRJEB62038	SAMN38034182
32480	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	130.97	36.1932	GCA_036927045.1	chromosome 1:CM072647.1; chromosome 2:CM072648.1; chromosome 3:CM072649.1; chromosome 4:CM072650.1; chromosome 5:CM072651.1	JAWQUA01	10			2024/02/29	2024/02/29	Chromosome	PRJEB62038	SAMN38034188
32532	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	130.229	36.161	GCA_036927385.1	chromosome 1:CM072587.1; chromosome 2:CM072588.1; chromosome 3:CM072589.1; chromosome 4:CM072590.1; chromosome 5:CM072591.1	JAWQTO01	14			2024/02/29	2024/02/29	Chromosome	PRJEB62038	SAMN38034171
32535	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	132.492	36.2266	GCA_036927265.1	chromosome 1:CM072617.1; chromosome 2:CM072618.1; chromosome 3:CM072619.1; chromosome 4:CM072620.1; chromosome 5:CM072621.1	JAWQTU01	7			2024/02/29	2024/02/29	Chromosome	PRJEB62038	SAMN38034180
32582	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	129.607	36.1956	GCA_036927365.1	chromosome 1:CM072592.1; chromosome 2:CM072593.1; chromosome 3:CM072594.1; chromosome 4:CM072595.1; chromosome 5:CM072596.1	JAWQTP01	10			2024/02/29	2024/02/29	Chromosome	PRJEB62038	SAMN38034173
32585	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	131.803	36.256	GCA_036927375.1	chromosome 1:CM072597.1; chromosome 2:CM072598.1; chromosome 3:CM072599.1; chromosome 4:CM072600.1; chromosome 5:CM072601.1	JAWQTQ01	8			2024/02/29	2024/02/29	Chromosome	PRJEB62038	SAMN38034174
32633	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	137.6	36.3015	GCA_036927475.1	chromosome 1:CM072562.1; chromosome 2:CM072563.1; chromosome 3:CM072564.1; chromosome 4:CM072565.1; chromosome 5:CM072566.1	JAWQTL01	15			2024/02/29	2024/02/29	Chromosome	PRJEB62038	SAMN38034168
32636	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	131.798	36.1874	GCA_036926925.1	chromosome 1:CM072657.1; chromosome 2:CM072658.1; chromosome 3:CM072659.1; chromosome 4:CM072660.1; chromosome 5:CM072661.1	JAWQUC01	11			2024/02/29	2024/02/29	Chromosome	PRJEB62038	SAMN38034190
32681	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	134.784	36.2677	GCA_036927455.1	chromosome 1:CM072567.1; chromosome 2:CM072568.1; chromosome 3:CM072569.1; chromosome 4:CM072570.1; chromosome 5:CM072571.1	JAWQTM01	12			2024/02/29	2024/02/29	Chromosome	PRJEB62038	SAMN38034169
32683	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	133.19	36.1848	GCA_036927025.1	chromosome 1:CM072642.1; chromosome 2:CM072643.1; chromosome 3:CM072644.1; chromosome 4:CM072645.1; chromosome 5:CM072646.1	JAWQTZ01	12			2024/02/29	2024/02/29	Chromosome	PRJEB62038	SAMN38034187
32728	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	131.229	36.2091	GCA_036927275.1	chromosome 1:CM072607.1; chromosome 2:CM072608.1; chromosome 3:CM072609.1; chromosome 4:CM072610.1; chromosome 5:CM072611.1	JAWQTT01	11			2024/02/29	2024/02/29	Chromosome	PRJEB62038	SAMN38034178
32731	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	132.638	36.2081	GCA_036927255.1	chromosome 1:CM072632.1; chromosome 2:CM072633.1; chromosome 3:CM072634.1; chromosome 4:CM072635.1; chromosome 5:CM072636.1	JAWQTW01	10			2024/02/29	2024/02/29	Chromosome	PRJEB62038	SAMN38034184
32776	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	129.592	36.1865	GCA_036926975.1	chromosome 1:CM072652.1; chromosome 2:CM072653.1; chromosome 3:CM072654.1; chromosome 4:CM072655.1; chromosome 5:CM072656.1	JAWQUB01	8			2024/02/29	2024/02/29	Chromosome	PRJEB62038	SAMN38034189
32779	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	135.626	36.2616	GCA_036927355.1	chromosome 1:CM072602.1; chromosome 2:CM072603.1; chromosome 3:CM072604.1; chromosome 4:CM072605.1; chromosome 5:CM072606.1	JAWQTR01	14			2024/02/29	2024/02/29	Chromosome	PRJEB62038	SAMN38034175
32822	Arabidopsis thaliana	3702	PRJNA834751	834751	Plants	Land Plants	119.744	36.0061	GCA_025388435.1	chromosome 1:CM046288.1; chromosome 2:CM046289.1; chromosome 3:CM046290.1; chromosome 4:CM046291.1; chromosome 5:CM046292.1; mitochondrion MT:CM046312.1; chloroplast Pltd:CM046313.1	JAMBAT01	36			2022/09/23	2022/09/25	Chromosome	INRAE/CNRS	SAMN28055790
32825	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	129.962	36.1863	GCA_036927285.1	chromosome 1:CM072612.1; chromosome 2:CM072613.1; chromosome 3:CM072614.1; chromosome 4:CM072615.1; chromosome 5:CM072616.1	JAWQTS01	8			2024/02/29	2024/02/29	Chromosome	PRJEB62038	SAMN38034176
32869	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	137.297	36.5335	GCA_036927485.1	chromosome 1:CM072577.1; chromosome 2:CM072578.1; chromosome 3:CM072579.1; chromosome 4:CM072580.1; chromosome 5:CM072581.1	JAWQTK01	11			2024/02/29	2024/02/29	Chromosome	PRJEB62038	SAMN38034166
32871	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	131.282	36.2811	GCA_036927505.1	chromosome 1:CM072572.1; chromosome 2:CM072573.1; chromosome 3:CM072574.1; chromosome 4:CM072575.1; chromosome 5:CM072576.1	JAWQTJ01	6			2024/02/29	2024/02/29	Chromosome	PRJEB62038	SAMN38034162
32917	Arabidopsis thaliana	3702	PRJEB31147	572789	Plants	Land Plants	120.338	36.1308	GCA_902460285.1	chromosome 1:LR699770.1; chromosome 2:LR699771.1; chromosome 3:LR699772.1; chromosome 4:LR699773.1; chromosome 5:LR699774.1	CABPTM01	105			2019/08/27	2019/08/27	Chromosome	MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	SAMEA5751963
32920	Arabidopsis thaliana	3702	PRJEB30763	522182	Plants	Land Plants	119.627	36.1052	GCA_900660825.1	chromosome 1:LR215052.1; chromosome 2:LR215053.1; chromosome 3:LR215054.1; chromosome 4:LR215055.1; chromosome 5:LR215056.1	CAACVU01	109			2019/02/11	2019/02/11	Chromosome	MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	SAMEA5244800
32964	Arabidopsis thaliana	3702	PRJEB31147	572789	Plants	Land Plants	122.202	36.2377	GCA_902460305.1	chromosome 1:LR699755.1; chromosome 2:LR699756.1; chromosome 3:LR699757.1; chromosome 4:LR699758.1; chromosome 5:LR699759.1	CABPTJ01	184			2019/08/27	2019/08/27	Chromosome	MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	SAMEA5751962
32967	Arabidopsis thaliana	3702	PRJEB51511	814609	Plants	Land Plants	138.836	36.4166	GCA_933208065.1	chromosome 1:OW119596.1; chromosome 2:OW119597.1; chromosome 3:OW119598.1; chromosome 4:OW119599.1; chromosome 5:OW119600.1; mitochondrion MT:OW119601.1; chloroplast Pltd:OW119602.1	CAKOER01	25			2022/03/10	2022/03/21	Chromosome	WELLCOME SANGER INSTITUTE	SAMEA7522056
33011	Arabidopsis thaliana	3702	PRJEB31147	572789	Plants	Land Plants	120.13	36.121	GCA_902460265.3	chromosome 1:LR699745.2; chromosome 2:LR699746.2; chromosome 3:LR699747.2; chromosome 4:LR699748.2; chromosome 5:LR699749.2	CABPTH03	111			2019/08/27	2019/08/27	Chromosome	MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	SAMEA5751958
33014	Arabidopsis thaliana	3702	PRJEB31147	572789	Plants	Land Plants	119.75	36.0698	GCA_902460275.1	chromosome 1:LR699760.1; chromosome 2:LR699761.1; chromosome 3:LR699762.1; chromosome 4:LR699763.1; chromosome 5:LR699764.1	CABPTK01	102			2019/08/27	2019/08/27	Chromosome	MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	SAMEA5751960
33055	Arabidopsis thaliana	3702	PRJEB31147	572789	Plants	Land Plants	120.29	36.1365	GCA_902460295.1	chromosome 1:LR699750.1; chromosome 2:LR699751.1; chromosome 3:LR699752.1; chromosome 4:LR699753.1; chromosome 5:LR699754.1	CABPTI01	94			2019/08/27	2019/08/27	Chromosome	MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	SAMEA5751964
33058	Arabidopsis thaliana	3702	PRJEB31147	572789	Plants	Land Plants	120.795	36.1309	GCA_902460315.1	chromosome 1:LR699765.1; chromosome 2:LR699766.1; chromosome 3:LR699767.1; chromosome 4:LR699768.1; chromosome 5:LR699769.1	CABPTL01	142			2019/08/27	2019/08/27	Chromosome	MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	SAMEA5751961
33102	Arabidopsis thaliana	3702	PRJNA311266	311266	Plants	Land Plants	118.891	35.8882	GCA_001651475.1	chromosome 1:CM004359.1; chromosome 2:CM004360.1; chromosome 3:CM004361.1; chromosome 4:CM004362.1; chromosome 5:CM004363.1	LUHQ01	30	27170.0	30837.0	2016/05/25	2016/05/27	Chromosome	Center for genomic Regulation	SAMN04457953
33103	Arabidopsis thaliana	3702	PRJEB65878	1033955	Plants	Land Plants	126.006	36.3	GCA_964248535.1	CAXTYY000000000.1	CAXTYY01	38			2024/08/24	2024/08/25	Scaffold	Institut des Sciences des Plantes - Paris-Saclay (France)	SAMEA115942300
33144	Arabidopsis thaliana	3702	PRJEB35658	706965	Plants	Land Plants	124.088	36.4	GCA_905067165.1		CAJHIL01	35			2021/03/11	2021/03/11	Contig	CENTER FOR BIOTECHNOLOGY, BIELEFELD UNIVERSITY	SAMEA7490021
33145	Arabidopsis thaliana	3702	PRJEB44316	840115	Plants	Land Plants	117.099	36.1	GCA_910573875.1		CAJTBN01	79			2022/04/30	2022/04/30	Contig	INRAE	SAMEA8574185
33185	Arabidopsis thaliana	3702	PRJEB21270	400882	Plants	Land Plants	119.503	36.1	GCA_900303355.1		OMOL01	62			2018/03/09	2018/03/09	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104665750
33186	Arabidopsis thaliana	3702	PRJEB49840	796906	Plants	Land Plants	129.409	36.2	GCA_927323615.1		CAKMHS01	54			2022/01/21	2022/01/21	Contig	Keygene N.V.	SAMEA12120298
33224	Arabidopsis thaliana	3702	PRJNA237120	237120	Plants	Land Plants	127.419	36.7	GCA_000835945.1		JSAD01	378			2014/11/10	2014/11/10	Contig	Pacific Biosciences	SAMN02724977
33225	Arabidopsis thaliana	3702	PRJEB23084	430541	Plants	Land Plants	119.75	36.1	GCA_900303345.1		OMOK01	78			2018/03/09	2018/03/09	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104665749
33261	Arabidopsis thaliana	3702	PRJEB45213	840140	Plants	Land Plants	117.094	36.1	GCA_910574415.1		CAJTBL01	101			2022/04/30	2022/04/30	Contig	INRAE	SAMEA8574186
33294	Arabidopsis thaliana	3702	PRJEB23977	438629	Plants	Land Plants	119.167	36.1	GCA_900243945.1		OFAM01	59			2018/03/19	2018/03/19	Contig	SALK INSTITUTE FOR BIOLOGICAL STUDIES	SAMEA104444962
33295	Arabidopsis thaliana	3702	PRJEB37259	630637	Plants	Land Plants	120.615	36.1	GCA_903064315.1		CAEFZF01	86			2020/05/15	2020/05/15	Contig	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	SAMEA6623704
33327	Arabidopsis thaliana	3702	PRJEB31147	572789	Plants	Land Plants	120.13	36.1	GCA_902651935.1		CACRSJ01	111	27194.0	27334.0	2019/11/12	2019/11/12	Scaffold	MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	SAMEA5751958
33328	Arabidopsis thaliana	3702	PRJNA314706	314706	Plants	Land Plants	244.583	36.4	GCA_001753755.2		MJMM01	411			2016/10/07	2016/11/15	Contig	Pacific Biosciences	SAMN04539663
33360	Arabidopsis thaliana	3702	PRJEB23977	438629	Plants	Land Plants	119.203	36.0	GCA_900243935.1		OFEF01	40			2018/03/18	2018/03/18	Contig	SALK INSTITUTE FOR BIOLOGICAL STUDIES	SAMEA104444960
33361	Arabidopsis thaliana	3702	PRJEB31147	572789	Plants	Land Plants	119.225	36.0	GCA_902705455.1		CACSHJ01	98	27029.0	27213.0	2019/12/12	2019/12/12	Scaffold	MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	SAMEA5751959
33392	Arabidopsis thaliana	3702	PRJEB23977	438629	Plants	Land Plants	119.128	36.2	GCA_900243955.1		OFAN01	139			2018/03/19	2018/03/19	Contig	SALK INSTITUTE FOR BIOLOGICAL STUDIES	SAMEA104444961
33393	Arabidopsis thaliana	3702	PRJEB73629	1093884	Plants	Land Plants	119.163	36.0	GCA_963990585.1		CAXDMS01	93			2024/03/14	2024/03/16	Scaffold	Huazhong Agricultural University	SAMEA115401880
33425	Arabidopsis thaliana	3702	PRJNA302255	302255	Plants	Land Plants	116.846	36.1	GCA_001742845.1		LXSY01	5197			2016/09/23	2016/10/14	Scaffold	Bielefeld University, CeBiTec & Department of Biology	SAMN04270984
33454	Arabidopsis thaliana	3702	PRJEB51512	814610	Plants	Land Plants	0.840519	46.7	GCA_933208075.1		CAKOEQ01	18			2022/03/10	2022/03/21	Contig	WELLCOME SANGER INSTITUTE	SAMEA7522056
33457	Arabidopsis thaliana	3702	PRJNA30811	30811	Plants	Land Plants	98.0662	36.6	GCA_000222345.1		AFNB01	1740			2011/07/18	2014/08/11	Scaffold	1001genomes	SAMN02981335
33485	Arabidopsis thaliana	3702	PRJNA30811	30811	Plants	Land Plants	96.5002	36.7	GCA_000222325.1		AFNA01	2143			2011/07/18	2014/08/11	Scaffold	1001genomes	SAMN02981334
33486	Arabidopsis thaliana	3702	PRJNA30811	30811	Plants	Land Plants	96.2565	36.6	GCA_000222365.1		AFMZ01	1261			2011/07/18	2014/08/11	Scaffold	1001genomes	SAMN02981333
33514	Arabidopsis thaliana	3702	PRJNA30811	30811	Plants	Land Plants	96.694	36.7	GCA_000222385.1		AFNC01	2408			2011/07/18	2014/08/11	Scaffold	1001genomes	SAMN02981336
33539	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	140.388	36.4536	GCA_036937005.1	chromosome 1:CP137991.1; chromosome 2:CP137992.1; chromosome 3:CP137993.1; chromosome 4:CP137994.1; chromosome 5:CP137995.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034131
33540	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	135.768	36.3815	GCA_036936885.1	chromosome 1:CP137961.1; chromosome 2:CP137962.1; chromosome 3:CP137963.1; chromosome 4:CP137964.1; chromosome 5:CP137965.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034125
33565	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	136.158	36.3002	GCA_036940415.1	chromosome 1:CP138076.1; chromosome 2:CP138077.1; chromosome 3:CP138078.1; chromosome 4:CP138079.1; chromosome 5:CP138080.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034148
33589	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	137.524	36.3953	GCA_036936705.1	chromosome 1:CP137946.1; chromosome 2:CP137947.1; chromosome 3:CP137948.1; chromosome 4:CP137949.1; chromosome 5:CP137950.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034122
33590	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	136.927	36.3255	GCA_036940625.1	chromosome 1:CP138091.1; chromosome 2:CP138092.1; chromosome 3:CP138093.1; chromosome 4:CP138094.1; chromosome 5:CP138095.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034151
33615	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	134.127	36.3592	GCA_036937455.1	chromosome 1:CP138016.1; chromosome 2:CP138017.1; chromosome 3:CP138018.1; chromosome 4:CP138019.1; chromosome 5:CP138020.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034136
33637	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	135.07	36.4207	GCA_036940305.1	chromosome 1:CP138056.1; chromosome 2:CP138057.1; chromosome 3:CP138058.1; chromosome 4:CP138059.1; chromosome 5:CP138060.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034144
33640	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	134.924	36.3408	GCA_036936915.1	chromosome 1:CP137976.1; chromosome 2:CP137977.1; chromosome 3:CP137978.1; chromosome 4:CP137979.1; chromosome 5:CP137980.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034128
33663	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	138.707	36.3346	GCA_036937465.1	chromosome 1:CP138011.1; chromosome 2:CP138012.1; chromosome 3:CP138013.1; chromosome 4:CP138014.1; chromosome 5:CP138015.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034135
33665	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	137.015	36.4318	GCA_036937475.1	chromosome 1:CP138021.1; chromosome 2:CP138022.1; chromosome 3:CP138023.1; chromosome 4:CP138024.1; chromosome 5:CP138025.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034137
33688	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	139.781	36.4465	GCA_036940615.1	chromosome 1:CP138086.1; chromosome 2:CP138087.1; chromosome 3:CP138088.1; chromosome 4:CP138089.1; chromosome 5:CP138090.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034150
33737	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	143.441	36.3424	GCA_036940995.1	chromosome 1:CP138116.1; chromosome 2:CP138117.1; chromosome 3:CP138118.1; chromosome 4:CP138119.1; chromosome 5:CP138120.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034156
33763	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	139.369	36.3608	GCA_036936895.1	chromosome 1:CP137966.1; chromosome 2:CP137967.1; chromosome 3:CP137968.1; chromosome 4:CP137969.1; chromosome 5:CP137970.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034126
33836	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	136.612	36.3434	GCA_036936905.1	chromosome 1:CP137971.1; chromosome 2:CP137972.1; chromosome 3:CP137973.1; chromosome 4:CP137974.1; chromosome 5:CP137975.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034127
33837	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	135.87	36.3041	GCA_036940605.1	chromosome 1:CP138081.1; chromosome 2:CP138082.1; chromosome 3:CP138083.1; chromosome 4:CP138084.1; chromosome 5:CP138085.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034149
33862	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	135.155	36.2877	GCA_036936715.1	chromosome 1:CP137951.1; chromosome 2:CP137952.1; chromosome 3:CP137953.1; chromosome 4:CP137954.1; chromosome 5:CP137955.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034123
33863	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	134.626	36.3209	GCA_036936955.1	chromosome 1:CP137986.1; chromosome 2:CP137987.1; chromosome 3:CP137988.1; chromosome 4:CP137989.1; chromosome 5:CP137990.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034130
33888	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	134.703	36.3148	GCA_036940825.1	chromosome 1:CP138111.1; chromosome 2:CP138112.1; chromosome 3:CP138113.1; chromosome 4:CP138114.1; chromosome 5:CP138115.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034155
33889	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	134.441	36.3775	GCA_036940635.1	chromosome 1:CP138096.1; chromosome 2:CP138097.1; chromosome 3:CP138098.1; chromosome 4:CP138099.1; chromosome 5:CP138100.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034152
33914	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	136.542	36.3178	GCA_036939995.1	chromosome 1:CP138061.1; chromosome 2:CP138062.1; chromosome 3:CP138063.1; chromosome 4:CP138064.1; chromosome 5:CP138065.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034145
33915	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	137.554	36.4066	GCA_036937515.1	chromosome 1:CP138031.1; chromosome 2:CP138032.1; chromosome 3:CP138033.1; chromosome 4:CP138034.1; chromosome 5:CP138035.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034139
33940	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	136.582	36.3486	GCA_036936945.1	chromosome 1:CP137981.1; chromosome 2:CP137982.1; chromosome 3:CP137983.1; chromosome 4:CP137984.1; chromosome 5:CP137985.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034129
33941	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	136.709	36.4582	GCA_036937335.1	chromosome 1:CP138001.1; chromosome 2:CP138002.1; chromosome 3:CP138003.1; chromosome 4:CP138004.1; chromosome 5:CP138005.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034133
33965	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	140.867	36.3971	GCA_036937185.1	chromosome 1:CP137996.1; chromosome 2:CP137997.1; chromosome 3:CP137998.1; chromosome 4:CP137999.1; chromosome 5:CP138000.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034132
33987	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	135.307	36.2625	GCA_036940405.1	chromosome 1:CP138071.1; chromosome 2:CP138072.1; chromosome 3:CP138073.1; chromosome 4:CP138074.1; chromosome 5:CP138075.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034147
33989	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	139.5	36.3677	GCA_036937385.1	chromosome 1:CP138006.1; chromosome 2:CP138007.1; chromosome 3:CP138008.1; chromosome 4:CP138009.1; chromosome 5:CP138010.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034134
34011	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	140.695	36.3813	GCA_036940335.1	chromosome 1:CP138066.1; chromosome 2:CP138067.1; chromosome 3:CP138068.1; chromosome 4:CP138069.1; chromosome 5:CP138070.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034146
